ลําดับที่,จังหวัด,เขต,,,,,
เลือกตั้งที่,เลขที่,,,,,,
ใบรับใบสมัคร,คํานําหน้า,,,,,,
ผู้สมัคร,ชื่อผู้สมัคร,นามสกุลผู้สมัคร,ชื่อพรรคการเมือง,,,,
246,กรุงเทพมหานคร,6,20,นาง,สุมณฑา,อ่อนนุ่ม,เศรษฐกิจใหม่
247,กรุงเทพมหานคร,6,21,นาง,อังศุธร,อังคะพินทุ,พลังชาติไทย
248,กรุงเทพมหานคร,6,22,นาย,พิสิษฐ์,พิพัฒน์กุลบุตร,ครูไทยเพื่อประชาชน
249,กรุงเทพมหานคร,6,23,นาย,ภัทรพงศ์,วนะไชยเกียรติ,พลังรัก
250,กรุงเทพมหานคร,6,24,นาย,ขรรค์ชัย,แก้วเนตร,พลังปวงชนไทย
251,กรุงเทพมหานคร,6,25,นาง,นภารําไพ,ณ นคร,มหาชน
252,กรุงเทพมหานคร,6,26,นาย,มิตรพล,สิทธิกูล,พลังไทสร้างชาติ
253,กรุงเทพมหานคร,6,27,นางสาว,ฐาปนี,โปร่งรัศมี,พลเมืองไทย
254,กรุงเทพมหานคร,6,28,นาย,ปริญญา,งามพัฒนพงศ์ชัย,มติประชา
255,กรุงเทพมหานคร,6,29,นาย,คชษนิ,กาดัสซา,ภาคีเครือข่ายไทย
256,กรุงเทพมหานคร,6,30,นาย,ลาภวัต,สุริยสกุลลาภ,ประชาธิปไตยใหม่
257,กรุงเทพมหานคร,7,1,นาย,ธัญญธํารง,อัศวนนท์,ประชาชาติ
258,กรุงเทพมหานคร,7,2,นาย,พรมงคล,ศรีดี,ประชาชนปฏิรูป
,,,,,,,
ลําดับที่,จังหวัด,เขต,เลขที่,คํานําหน้า,ชื่อผ้สมัคร,นามสกลผ้สมัคร,ชื่อพรรคการเมือง
259,กรุงเทพมหานคร,7,3,นาย,ปิยะชาติ,อํานวยเวช,อนาคตใหม่
260,กรุงเทพมหานคร,7,4,นางสาว,ธณิกานต์,พรพงษาโรจน์,พลังประชารัฐ
261,กรุงเทพมหานคร,7,5,นาย,กัษณ,เข็มเพ็ชร,ประชาภิวัฒน์
262,กรุงเทพมหานคร,7,6,นาย,วิโรจน์,จิตรอบอารีย์,ชาติพัฒนา
263,กรุงเทพมหานคร,7,7,นาย,วรินทร,สิรรมย์,เสรีรวมไทย
264,กรุงเทพมหานคร,7,8,นาย,ปฐมพร,ทิมเพชร,ชาติไทยพัฒนา
265,กรุงเทพมหานคร,7,9,นางสาว,กฤษยากร,สรชัย,ไทยศรีวิไลย์
266,กรุงเทพมหานคร,7,10,นาย,สมชาติ,อ่อนประดิษฐ์,เพื่อแผ่นดิน
267,กรุงเทพมหานคร,7,11,นาย,กันตพล,กิตติธากรณ์,รวมพลังประชาชาติไทย
268,กรุงเทพมหานคร,7,12,นาง,พิมพ์อร,คงอุดม,พลังท้องถิ่นไท
269,กรุงเทพมหานคร,7,13,นางสาว,โพยมราษี,ฤกษ์สําราญ,เพื่อชาติ
270,กรุงเทพมหานคร,7,14,นาย,อัครนันท์,อริยศรีพงษ์,ภูมิใจไทย
271,กรุงเทพมหานคร,7,15,นาย,คณวัฒน์,จันทรลาวัณย์,ประชาธิปัตย์
272,กรุงเทพมหานคร,7,16,พลโทหญิง,พงษ์รุจี,ศิริวัฒนะ,รักษ์ผืนป่าประเทศไทย
273,กรุงเทพมหานคร,7,17,ร.ต.อ.,วัฒนรักษ์,สุรนาทยุทธ์,เพื่อไทย
274,กรุงเทพมหานคร,7,18,นาย,พีรยุทธ,อินทรสุวรรณ,ประชานิยม
275,กรุงเทพมหานคร,7,19,พันเอก,สันติ,โอเงิน,พลังศรัทธา
276,กรุงเทพมหานคร,7,20,นาย,อริยะ,ฮุยลัน,พลังปวงชนไทย
277,กรุงเทพมหานคร,7,21,นางสาว,ศจีกาญจน์,สรรพช่าง,ภราดรภาพ
278,กรุงเทพมหานคร,7,22,นาย,ณัทพสิษฐ์,ประสานวงศ์,เศรษฐกิจใหม่
279,กรุงเทพมหานคร,7,23,นาย,กิติพันธ์,นันทะสีวะลี,ครูไทยเพื่อประชาชน
280,กรุงเทพมหานคร,7,24,นาย,วโรภาส,แสงเพชร,พลังชาติไทย
281,กรุงเทพมหานคร,7,25,นาย,รัฐโรจน์,ประสิทธิ์พรกุล,มติประชา
282,กรุงเทพมหานคร,7,26,นาย,วิสุทธิ์,โพธิ์ศรี,แผ่นดินธรรม
283,กรุงเทพมหานคร,7,27,นาย,นิธิศ,ศรีแยม้,กลาง
284,กรุงเทพมหานคร,7,28,นาย,อิทธิพล,ตัตวธร,ประชาธรรมไทย
285,กรุงเทพมหานคร,7,29,ร้อยตํารวจตรี,เสน่ห์,ชัยทร,ประชากรไทย
286,กรุงเทพมหานคร,7,30,นาย,สันต์สุข,ไตรเพทพิสัย,มหาชน
287,กรุงเทพมหานคร,7,31,นาย,กิตติพศ,กากาเคน,ไทรักธรรม
288,กรุงเทพมหานคร,8,1,นางสาว,วีรินทร์,ตันเสรีสกุล,เพื่อชาติ
289,กรุงเทพมหานคร,8,2,นาย,กษิดิ์เดช,ชุติมันต์,พลังประชารัฐ
290,กรุงเทพมหานคร,8,3,นาง,จิณณา,สืบสายไทย,ภูมิใจไทย
291,กรุงเทพมหานคร,8,4,นาย,ศิรธันย์,แสงสินธุศร,ประชาชาติ
292,กรุงเทพมหานคร,8,5,นาย,สิทธา,แจ้งสขุ,ประชาภิวัฒน์
293,กรุงเทพมหานคร,8,6,ร้อยโทหญิง,สุณิสา,ทิวากรดํารง,เพื่อไทย
294,กรุงเทพมหานคร,8,7,นางสาว,ปิณญาดา,ตันติมนตรี,เสรีรวมไทย
295,กรุงเทพมหานคร,8,8,นาย,กรกฤษณ์,วงศ์คุณหยก,ชาติพัฒนา
296,กรุงเทพมหานคร,8,9,นาย,ผนึก,ธัญรส,พลังธรรมใหม่
297,กรุงเทพมหานคร,8,10,นางสาว,วราไพรินทร์,ธนวริสพร,ชาติไทยพัฒนา
298,กรุงเทพมหานคร,8,11,นาย,เจษฎา,ศรีสุข,รวมพลังประชาชาติไทย
299,กรุงเทพมหานคร,8,12,นาย,ธนเดช,เพ็งสุข,อนาคตใหม่
300,กรุงเทพมหานคร,8,13,นาย,ปราช,จันทองจีน,ประชาชนปฏิรูป
301,กรุงเทพมหานคร,8,14,นาย,ทนงศักดิ์,รักอารมณ์,ไทยศรีวิไลย์
,,,,,,,
ลําดับที่,จังหวัด,เขต,เลขที่,คํานําหน้า,ชื่อผ้สมัคร,นามสกลผ้สมัคร,ชื่อพรรคการเมือง
302,กรุงเทพมหานคร,8,15,นางสาว,วันสว่าง,เต็มชํานาญ,พลังท้องถิ่นไท
303,กรุงเทพมหานคร,8,16,นาย,สรรเสริญ,สมะลาภา,ประชาธิปัตย์
304,กรุงเทพมหานคร,8,17,นางสาว,ณัฐภรณ์,ชมตระกูล,ประชานิยม
